JRNL,YEAR,EST,NPAPR,NPVAL,JIF,OA,SUBJ
BMC Cancer,2014,0.2888037894,992,1112,3.362,1,ONC
BMC Cancer,2015,0.4119912012,1028,1109,3.265,1,ONC
BMC Fam Pract,2011,0.1893993042,144,91,1.799,1,GEN
BMC Fam Pract,2012,0.2410026498,129,18,1.609,1,GEN
BMC Fam Pract,2013,0.2455077677,201,69,1.735,1,GEN
BMC Fam Pract,2014,0.3089424922,211,77,1.669,1,GEN
BMC Fam Pract,2015,0.1360085062,182,82,1.641,1,GEN
BMC Med,2011,0.3784254622,139,66,6.035,1,GEN
BMC Med,2012,0.2225215957,172,66,6.679,1,GEN
BMC Med,2013,0.0001722058,261,126,7.276,1,GEN
BMC Med,2014,0.1911599927,229,161,7.356,1,GEN
BMC Med,2015,0.2894679066,305,166,8.005,1,GEN
BMJ,2011,0.1223345692,2608,257,14.093,0,GEN
BMJ,2012,0.261657737,3227,258,17.215,0,GEN
BMJ,2013,0.2625257374,3380,180,16.378,0,GEN
BMJ,2014,0.0537213594,3211,153,17.445,0,GEN
BMJ,2015,0.0595511565,3334,153,19.697,0,GEN
Bone Marrow Transplant,2011,0.4251645678,506,331,3.746,0,ONC
Bone Marrow Transplant,2012,0.1590074414,474,385,3.541,0,ONC
Bone Marrow Transplant,2013,0.2126292368,392,406,3.466,0,ONC
Bone Marrow Transplant,2014,0.2462784211,382,392,3.57,0,ONC
Bone Marrow Transplant,2015,0.1819040042,441,390,3.636,0,ONC
Br J Cancer,2011,0.1530377557,634,593,5.042,0,ONC
Br J Cancer,2012,0.1706855404,627,660,5.082,0,ONC
Br J Cancer,2013,0.2128958579,879,882,4.817,0,ONC
Br J Cancer,2014,0.2327474889,756,764,4.836,0,ONC
Br J Cancer,2015,0.1851586752,553,506,5.569,0,ONC
Br J Gen Pract,2011,0.1963678083,360,53,1.831,0,GEN
Br J Gen Pract,2012,0.2076450427,373,32,2.034,0,GEN
Br J Gen Pract,2013,0.2773678665,415,44,2.356,0,GEN
Br J Gen Pract,2014,3.42720921636052E-44,386,23,2.294,0,GEN
Br J Gen Pract,2015,0.3817603193,382,69,2.741,0,GEN
Breast Cancer Res,2011,0.1836389757,198,115,5.245,1,ONC
Breast Cancer Res,2012,0.4029548873,217,166,5.872,1,ONC
Breast Cancer Res,2013,0.2602786608,167,83,5.881,1,ONC
Breast Cancer Res,2014,0.2906966173,204,126,5.49,1,ONC
Breast Cancer Res,2015,0.1733722704,151,162,5.211,1,ONC
Breast Cancer Res Treat,2011,0.3599232392,922,819,4.431,0,ONC
Breast Cancer Res Treat,2012,0.2367930524,744,708,4.469,0,ONC
Breast Cancer Res Treat,2013,0.0757426818,503,386,4.198,0,ONC
Breast Cancer Res Treat,2014,0.1893628349,460,385,3.94,0,ONC
Breast Cancer Res Treat,2015,0.1588259044,456,400,4.085,0,ONC
Cancer Cytopathol,2011,0.2994962946,74,32,3.333,0,ONC
Cancer Cytopathol,2012,0.1255694639,94,31,4.434,0,ONC
Cancer Cytopathol,2013,0.1923436097,151,77,3.807,0,ONC
Cancer Cytopathol,2014,0.0929315637,160,95,3.737,0,ONC
Cancer Cytopathol,2015,0.0049164345,149,64,3.183,0,ONC
Cancer Epidemiol Biomarkers Prev,2011,0.1780063115,362,296,4.123,0,ONC
Cancer Epidemiol Biomarkers Prev,2012,0.2081997665,317,279,4.559,0,ONC
Cancer Epidemiol Biomarkers Prev,2013,0.2733204494,325,261,4.324,0,ONC
Cancer Epidemiol Biomarkers Prev,2014,0.4058583658,415,294,4.125,0,ONC
Cancer Epidemiol Biomarkers Prev,2015,0.3700208996,314,219,3.622,0,ONC
Cancer Immunol Immunother,2011,0.3656975336,266,37,3.701,0,ONC
Cancer Immunol Immunother,2012,0.2709471827,293,85,3.637,0,ONC
Cancer Immunol Immunother,2013,0.3179838421,194,76,3.943,0,ONC
Cancer Immunol Immunother,2014,0.0419754675,160,62,3.941,0,ONC
Cancer Immunol Immunother,2015,0.4773159583,170,91,4.846,0,ONC
Cancer Lett,2011,0.0450552383,496,71,4.238,0,ONC
Cancer Lett,2012,0.2505958412,560,37,4.258,0,ONC
Cancer Lett,2013,0.0753089408,682,45,5.016,0,ONC
Cancer Lett,2014,0.3895942854,615,49,5.621,0,ONC
Cancer Lett,2015,0.3295446578,659,68,5.992,0,ONC
Cancer Res,2011,0.2753879629,858,91,7.856,0,ONC
Cancer Res,2012,0.2282521295,772,83,8.65,0,ONC
Cancer Res,2013,0.1509765657,795,59,9.284,0,ONC
Cancer Res,2014,0.2167130554,751,54,9.329,0,ONC
Cancer Res,2015,0.1675767999,624,35,8.556,0,ONC
Carcinogenesis,2011,0.2243118358,319,143,5.702,0,ONC
Carcinogenesis,2012,0.1570280259,409,174,5.635,0,ONC
Carcinogenesis,2013,0.2467630646,445,206,5.266,0,ONC
Carcinogenesis,2014,0.4623481834,351,185,5.334,0,ONC
Carcinogenesis,2015,0.2742725716,209,178,4.874,0,ONC
Chemotherapy,2011,0.1131155471,67,39,1.816,0,ONC
Chemotherapy,2012,0.4255897466,67,57,2.066,0,ONC
Chemotherapy,2013,0.4766761908,66,39,1.554,0,ONC
Chemotherapy,2014,0.2821234723,58,53,1.288,0,ONC
Chemotherapy,2015,0.1526706865,19,13,0.992,0,ONC
Clin Breast Cancer,2011,0.1743881054,82,84,2.375,0,ONC
Clin Breast Cancer,2012,0.3835789121,97,72,2.422,0,ONC
Clin Breast Cancer,2013,0.177889097,124,112,2.628,0,ONC
Clin Breast Cancer,2014,0.3133055353,144,139,2.107,0,ONC
Clin Breast Cancer,2015,0.3353615964,152,125,3.082,0,ONC
Clin Cancer Res,2011,0.2132789023,899,626,7.742,0,ONC
Clin Cancer Res,2012,0.1601317894,805,553,7.837,0,ONC
Clin Cancer Res,2013,0.2061790132,845,524,8.193,0,ONC
Clin Cancer Res,2014,0.2015562096,836,551,8.722,0,ONC
Clin Cancer Res,2015,0.2191342229,928,585,8.738,0,ONC
Clin Exp Med,2011,0.2495424906,70,31,2,0,GEN
Clin Exp Med,2012,0.1365306697,88,77,2.397,0,GEN
Clin Exp Med,2013,0.0842511459,77,64,2.824,0,GEN
Clin Exp Med,2014,0.1138078801,116,115,2.959,0,GEN
Clin Exp Med,2015,0.000000092,133,40,2.854,0,GEN
Clin Lung Cancer,2011,0.3346173305,97,118,2.944,0,ONC
Clin Lung Cancer,2012,0.3741004809,108,145,2.038,0,ONC
Clin Lung Cancer,2013,0.4518993424,134,239,3.22,0,ONC
Clin Lung Cancer,2014,0.4590687025,118,106,3.104,0,ONC
Clin Lung Cancer,2015,0.4104793082,147,83,3.03,0,ONC
Clin Sci,2011,0.0545785722,96,123,4.317,0,GEN
Clin Sci,2012,0.111771217,112,128,4.859,0,GEN
Clin Sci,2013,0.0698285145,120,124,5.629,0,GEN
Clin Sci,2014,0.1027925771,137,115,5.598,0,GEN
Clin Sci,2015,0.0071272256,191,166,5.016,0,GEN
Clin Trials,2011,7.3280004709446E-19,94,13,2.362,0,GEN
Clin Trials,2012,1.25827662521236E-14,100,20,2.2,0,GEN
Clin Trials,2013,0.1479199726,126,24,1.944,0,GEN
Clin Trials,2014,0.2924109846,104,16,1.925,0,GEN
Clin Trials,2015,0.2911741948,108,36,1.858,0,GEN
Curr Med Res Opin,2011,0.0642770132,287,347,2.38,0,GEN
Curr Med Res Opin,2012,0.2272611407,224,291,2.263,0,GEN
Curr Med Res Opin,2013,0.1874856279,275,338,2.372,0,GEN
Curr Med Res Opin,2014,0.1858660818,324,378,2.653,0,GEN
Curr Med Res Opin,2015,0.2028079392,306,275,2.643,0,GEN
Curr Oncol,2011,4.85711487005974E-08,92,11,2.473,0,ONC
Curr Oncol,2012,0.1341566973,132,38,1.625,0,ONC
Curr Oncol,2013,0.2096231246,125,75,1.643,0,ONC
Curr Oncol,2014,0.1902032112,143,100,1.785,0,ONC
Curr Oncol,2015,0.4716251141,144,42,1.829,0,ONC
Dis Markers,2011,0.3623032632,82,115,1.652,1,GEN
Dis Markers,2012,0.4150442582,83,129,2.14,1,GEN
Dis Markers,2013,0.2561179549,173,242,2.174,1,GEN
Dis Markers,2014,0.3993027469,146,194,1.562,1,GEN
Dis Markers,2015,0.2920961307,240,279,2.137,1,GEN
Endocr Relat Cancer,2011,0.4285725451,92,54,4.364,0,ONC
Endocr Relat Cancer,2012,0.4664368221,112,44,5.261,0,ONC
Endocr Relat Cancer,2013,0.1875885491,120,92,4.907,0,ONC
Endocr Relat Cancer,2014,0.3291771235,159,86,4.805,0,ONC
Endocr Relat Cancer,2015,0.1201954031,153,81,4.472,0,ONC
Eur J Cancer,2011,0.2788233822,547,496,5.536,0,ONC
Eur J Cancer,2012,0.2071293519,518,538,5.061,0,ONC
Eur J Cancer,2013,0.2250519608,558,513,4.819,0,ONC
Eur J Cancer,2014,0.1989704898,410,446,5.417,0,ONC
Eur J Cancer,2015,0.2574604919,367,407,6.163,0,ONC
Eur J Clin Invest,2011,0.155128372,249,490,3.018,0,GEN
Eur J Clin Invest,2012,0.1580357008,196,295,3.365,0,GEN
Eur J Clin Invest,2013,0.0530204773,179,148,2.834,0,GEN
Eur J Clin Invest,2014,0.2227464933,139,177,2.734,0,GEN
Eur J Clin Invest,2015,0.0715218298,179,185,2.687,0,GEN
Eur J Gynaecol Oncol,2011,0.2962303069,176,54,0.474,0,ONC
Eur J Gynaecol Oncol,2012,0.4275567957,155,89,0.577,0,ONC
Eur J Gynaecol Oncol,2013,0.4900459101,131,75,0.602,0,ONC
Eur J Gynaecol Oncol,2014,0.221872688,176,99,0.611,0,ONC
Eur J Gynaecol Oncol,2015,0.2241355955,153,120,0.58,0,ONC
Eur J Intern Med,2011,0.2259480864,249,256,2,0,GEN
Eur J Intern Med,2012,0.3003426218,265,309,2.049,0,GEN
Eur J Intern Med,2013,0.2607738466,263,192,2.3,0,GEN
Eur J Intern Med,2014,0.1073439768,259,161,2.891,0,GEN
Eur J Intern Med,2015,0.2339250078,264,180,2.591,0,GEN
Exp Ther Med,2011,0.3872584684,284,354,0.206,0,GEN
Exp Ther Med,2012,0.2405343735,530,620,0.344,0,GEN
Exp Ther Med,2013,0.2039412396,734,786,0.941,0,GEN
Exp Ther Med,2014,0.2787477426,788,718,1.269,0,GEN
Exp Ther Med,2015,0.1396046611,930,853,1.28,0,GEN
Gastric Cancer,2011,0.2011902866,112,60,2.421,0,ONC
Gastric Cancer,2012,0.320448903,151,85,3.989,0,ONC
Gastric Cancer,2013,0.3324894389,168,161,4.828,0,ONC
Gastric Cancer,2014,0.2904041603,209,219,3.719,0,ONC
Gastric Cancer,2015,0.313194523,228,163,4.404,0,ONC
Genes Chromosomes Cancer,2011,0.2758626237,137,0,3.306,0,ONC
Genes Chromosomes Cancer,2012,0.0652702253,148,88,3.546,0,ONC
Genes Chromosomes Cancer,2013,0.5587106743,137,65,3.836,0,ONC
Genes Chromosomes Cancer,2014,0.2906441663,122,94,4.041,0,ONC
Genes Chromosomes Cancer,2015,0.0107401393,110,55,3.96,0,ONC
Int J Biol Markers,2011,0.2762646349,40,56,1.479,0,ONC
Int J Biol Markers,2012,0.4492908904,54,63,1.592,0,ONC
Int J Biol Markers,2013,0.5234489567,60,125,1.36,0,ONC
Int J Biol Markers,2014,0.298560238,56,74,1.371,0,ONC
Int J Biol Markers,2015,0.2253167483,63,63,1.217,0,ONC
Int J Med Sci,2011,0.4330277978,117,90,2.244,0,GEN
Int J Med Sci,2012,0.4123375943,147,119,2.065,0,GEN
Int J Med Sci,2013,0.2118892745,251,295,1.552,0,GEN
Int J Med Sci,2014,0.2970656152,165,172,2.003,0,GEN
Int J Med Sci,2015,0.2869271318,125,118,2.232,0,GEN
Integr Cancer Ther,2011,0.0547721569,69,34,2.136,1,ONC
Integr Cancer Ther,2012,0.0028393692,74,52,2.354,1,ONC
Integr Cancer Ther,2013,0.2549016557,80,56,2.014,1,ONC
Integr Cancer Ther,2014,0.0385259942,70,59,2.361,1,ONC
Integr Cancer Ther,2015,0.3179383596,83,77,1.706,1,ONC
Intern Med,2011,0.3441631957,624,242,0.936,0,GEN
Intern Med,2012,0.2123071519,891,293,0.973,0,GEN
Intern Med,2013,0.1382237598,617,166,0.967,0,GEN
Intern Med,2014,0.4359500837,591,147,0.904,0,GEN
Intern Med,2015,0.1456293442,668,208,0.832,0,GEN
Intern Med J,2011,0.2799659206,196,87,1.541,0,GEN
Intern Med J,2012,0.1030582837,346,184,1.823,0,GEN
Intern Med J,2013,0.2139513361,306,143,1.699,0,GEN
Intern Med J,2014,0.1698047467,277,147,1.644,0,GEN
Intern Med J,2015,0.0858296595,291,194,1.526,0,GEN
J Biomed Sci,2011,0.3678477382,96,20,1.98,1,GEN
J Biomed Sci,2012,0.1350258019,102,36,2.458,1,GEN
J Biomed Sci,2013,0.1221847631,98,57,2.736,1,GEN
J Biomed Sci,2014,0.3079282058,102,45,2.763,1,GEN
J Biomed Sci,2015,0.223552896,106,30,2.935,1,GEN
J Cancer Res Clin Oncol,2011,0.0727158073,270,204,2.558,0,ONC
J Cancer Res Clin Oncol,2012,0.311404891,301,391,2.914,0,ONC
J Cancer Res Clin Oncol,2013,0.321229055,265,433,3.009,0,ONC
J Cancer Res Clin Oncol,2014,0.2303012966,358,434,3.081,0,ONC
J Cancer Res Clin Oncol,2015,0.1736212646,324,387,3.141,0,ONC
J Cancer Res Ther,2011,0.4250108113,127,43,0.656,1,ONC
J Cancer Res Ther,2012,0.3928700371,159,55,0.761,1,ONC
J Cancer Res Ther,2013,0.4055262244,208,64,0.949,1,ONC
J Cancer Res Ther,2014,0.2342489304,294,197,0.791,1,ONC
J Cancer Res Ther,2015,0.4145203595,506,250,0.777,1,ONC
J Chemother,2011,0.1078873946,83,18,1.084,0,ONC
J Chemother,2012,0.2893457497,67,37,0.825,0,ONC
J Chemother,2013,0.6573673769,112,21,1.073,0,ONC
J Chemother,2014,0.5501566107,127,24,1.604,0,ONC
J Chemother,2015,0.3571240833,71,29,1.333,0,ONC
J Clin Oncol,2011,0.2390673144,1206,1042,18.372,0,ONC
J Clin Oncol,2012,0.1408518349,1083,955,18.038,0,ONC
J Clin Oncol,2013,0.1451070514,1081,886,17.96,0,ONC
J Clin Oncol,2014,0.1202659343,1012,698,18.443,0,ONC
J Clin Oncol,2015,0.1146913388,1019,782,20.982,0,ONC
J Exp Clin Cancer Res,2011,0.2882470473,115,120,2.148,1,ONC
J Exp Clin Cancer Res,2012,0.1913869222,103,109,3.066,1,ONC
J Exp Clin Cancer Res,2013,0.3029535502,104,98,3.271,1,ONC
J Exp Clin Cancer Res,2014,0.2736671522,111,94,4.429,1,ONC
J Exp Clin Cancer Res,2015,0.1825424469,159,113,4.357,1,ONC
J Gen Intern Med,2011,0.220355427,395,264,2.83,0,GEN
J Gen Intern Med,2012,0.1447878641,405,239,3.278,0,GEN
J Gen Intern Med,2013,0.0771785144,448,221,3.423,0,GEN
J Gen Intern Med,2014,0.1504237944,514,276,3.449,0,GEN
J Gen Intern Med,2015,0.1660002663,477,266,3.494,0,GEN
J Hematol Oncol,2011,0.0852595151,54,36,3.99,1,ONC
J Hematol Oncol,2012,0.579477593,76,48,4.458,1,ONC
J Hematol Oncol,2013,0.2055832813,93,57,4.933,1,ONC
J Hematol Oncol,2014,0.4452700582,95,37,4.812,1,ONC
J Hematol Oncol,2015,0.3574981044,131,106,6.263,1,ONC
J Intern Med,2011,0.2233843735,193,173,5.483,0,GEN
J Intern Med,2012,0.2099696784,157,106,6.455,0,GEN
J Intern Med,2013,0.2238695447,163,85,5.785,0,GEN
J Intern Med,2014,0.1236721466,178,83,6.063,0,GEN
J Intern Med,2015,0.2868516403,161,50,7.803,0,GEN
J Investig Med,2011,0.435224663,90,153,1.964,0,GEN
J Investig Med,2012,0.0576667381,82,115,1.746,0,GEN
J Investig Med,2013,0.2155216537,80,160,1.503,0,GEN
J Investig Med,2014,0.1890793691,64,71,1.688,0,GEN
J Investig Med,2015,0.1013393568,62,108,2.085,0,GEN
J Natl Cancer Inst,2011,0.1557331735,351,230,13.757,0,ONC
J Natl Cancer Inst,2012,0.1808906609,340,206,14.336,0,ONC
J Natl Cancer Inst,2013,0.2090331927,352,262,15.161,0,ONC
J Natl Cancer Inst,2014,0.1344189728,413,331,12.583,0,ONC
J Natl Cancer Inst,2015,0.1741762433,433,400,11.37,0,ONC
J Neurooncol,2011,0.4257461494,523,330,3.214,0,ONC
J Neurooncol,2012,0.5171774739,376,274,3.115,0,ONC
J Neurooncol,2013,0.3816356992,326,306,2.787,0,ONC
J Neurooncol,2014,0.293615048,420,435,3.07,0,ONC
J Neurooncol,2015,0.208322135,404,327,2.754,0,ONC
J Pathol,2011,0.1663568488,239,99,6.318,0,ONC
J Pathol,2012,0.2225524066,199,88,7.585,0,ONC
J Pathol,2013,0.1704126828,174,42,7.33,0,ONC
J Pathol,2014,0.3056480406,176,37,7.429,0,ONC
J Pathol,2015,0.1524353941,208,18,7.381,0,ONC
J Postgrad Med,2011,0.2039378125,98,39,1.263,1,GEN
J Postgrad Med,2012,0.5866038528,89,32,1.078,1,GEN
J Postgrad Med,2013,0.0815722133,113,25,0.972,1,GEN
J Postgrad Med,2014,0.3126954843,153,27,0.855,1,GEN
J Postgrad Med,2015,0.2467433725,87,15,0.87,1,GEN
J Surg Oncol,2011,0.2714063767,432,574,2.1,0,ONC
J Surg Oncol,2012,0.3138535361,432,612,2.644,0,ONC
J Surg Oncol,2013,0.3088728252,347,519,2.843,0,ONC
J Surg Oncol,2014,0.3667461761,406,539,3.244,0,ONC
J Surg Oncol,2015,0.279328472,359,542,3.151,0,ONC
J Thorac Oncol,2011,0.1825258936,385,371,3.661,0,ONC
J Thorac Oncol,2012,0.2898219747,338,381,4.473,0,ONC
J Thorac Oncol,2013,0.1189359098,297,277,5.8,0,ONC
J Thorac Oncol,2014,0.158900988,317,301,5.282,0,ONC
J Thorac Oncol,2015,0.354535529,364,336,5.04,0,ONC
J Transl Med,2011,0.1410341521,235,180,3.474,1,GEN
J Transl Med,2012,0.1431833751,272,342,3.459,1,GEN
J Transl Med,2013,0.1712970435,315,373,3.991,1,GEN
J Transl Med,2014,0.2010998888,361,298,3.93,1,GEN
J Transl Med,2015,0.1399714468,392,298,3.694,1,GEN
JAMA,2011,0.1576290115,1011,420,30.026,0,GEN
JAMA,2012,0.2816415797,1067,502,29.978,0,GEN
JAMA,2013,0.1768529474,1286,470,30.387,0,GEN
JAMA,2014,0.1379627237,1275,375,35.289,0,GEN
JAMA,2015,0.1371617916,1304,360,37.684,0,GEN
Lancet,2011,0.2502329438,2292,713,38.278,0,GEN
Lancet,2012,0.2087552927,2503,802,39.06,0,GEN
Lancet,2013,0.2457591315,3224,996,39.207,0,GEN
Lancet,2014,0.2041442611,3943,1190,45.217,0,GEN
Lancet,2015,0.2184474119,4942,1777,44.002,0,GEN
Lancet Oncol,2011,0.2390467423,307,224,22.589,0,ONC
Lancet Oncol,2012,0.34161016,396,299,25.117,0,ONC
Lancet Oncol,2013,0.1621592837,441,222,24.725,0,ONC
Lancet Oncol,2014,0.085666601,535,287,24.69,0,ONC
Lancet Oncol,2015,0.2332383701,694,247,26.509,0,ONC
Leuk Lymphoma,2011,0.1871677874,583,259,2.58,0,ONC
Leuk Lymphoma,2012,0.3744894864,727,397,2.301,0,ONC
Leuk Lymphoma,2013,0.3144428127,808,488,2.605,0,ONC
Leuk Lymphoma,2014,0.2429873774,845,475,2.891,0,ONC
Leuk Lymphoma,2015,0.2110269096,862,417,3.093,0,ONC
Leukemia,2011,0.3387308839,463,207,9.561,0,ONC
Leukemia,2012,0.2582944092,569,251,10.164,0,ONC
Leukemia,2013,0.2253466997,580,263,9.379,0,ONC
Leukemia,2014,0.3625337225,532,238,10.431,0,ONC
Leukemia,2015,0.3248807531,516,204,12.104,0,ONC
Life Sci,2011,0.0219913316,343,111,2.527,0,GEN
Life Sci,2012,0.2085419248,401,125,2.555,0,GEN
Life Sci,2013,0.1353472109,376,150,2.296,0,GEN
Life Sci,2014,0.2773900674,451,210,2.702,0,GEN
Life Sci,2015,0.4468815152,449,98,2.685,0,GEN
Lung Cancer,2011,0.386021465,394,491,3.434,0,ONC
Lung Cancer,2012,0.2228651439,357,515,3.392,0,ONC
Lung Cancer,2013,0.2098090187,348,472,3.737,0,ONC
Lung Cancer,2014,0.1941046796,310,446,3.958,0,ONC
Lung Cancer,2015,0.1742205128,307,378,3.767,0,ONC
Med Hypotheses,2011,0.0797570207,650,25,1.15,0,GEN
Med Hypotheses,2012,0.1244041391,505,15,1.054,0,GEN
Med Hypotheses,2013,0.4739591463,553,21,1.152,0,GEN
Med Hypotheses,2014,0.1927663205,398,35,1.074,0,GEN
Med Hypotheses,2015,0.3934073122,398,29,1.136,0,GEN
Med J Aust,2011,0.1708764388,599,84,2.813,0,GEN
Med J Aust,2012,0.0561653743,557,60,2.853,0,GEN
Med J Aust,2013,0.1717043505,638,98,3.789,0,GEN
Med J Aust,2014,0.1961599872,592,71,4.089,0,GEN
Med J Aust,2015,0.0023564461,489,42,3.369,0,GEN
Mol Cancer,2011,0.1809330382,152,17,3.993,1,ONC
Mol Cancer,2012,0.6222023118,90,17,5.134,1,ONC
Mol Cancer,2013,0.3716877861,171,60,4.397,1,ONC
Mol Cancer,2014,0.0019973412,261,75,4.257,1,ONC
Mol Cancer,2015,0.2490566883,214,73,5.888,1,ONC
Mol Cancer Res,2011,0.1252577735,177,19,4.288,0,ONC
Mol Cancer Res,2012,0.2445339747,160,22,4.353,0,ONC
Mol Cancer Res,2013,9.76440873945306E-08,180,8,4.502,0,ONC
Mol Cancer Res,2014,0.582690026,221,7,4.38,0,ONC
Mol Cancer Res,2015,0.4639786783,175,9,4.51,0,ONC
Mol Carcinog,2011,0.1906608345,225,128,3.164,0,ONC
Mol Carcinog,2012,0.359934045,225,160,4.269,0,ONC
Mol Carcinog,2013,0.3550294301,234,150,4.77,0,ONC
Mol Carcinog,2014,0.4148029178,245,152,4.808,0,ONC
Mol Carcinog,2015,0.2717825803,354,159,4.722,0,ONC
Mol Med,2011,0.0881726302,152,81,3.757,1,GEN
Mol Med,2012,0.0505837517,143,51,4.469,1,GEN
Mol Med,2013,0.0488488887,59,31,4.824,1,GEN
Mol Med,2014,0.2295931884,63,20,4.508,1,GEN
Mol Med,2015,0.2383672355,129,41,3.53,1,GEN
Mol Oncol,2011,2.7709488981841E-06,65,26,5.082,0,ONC
Mol Oncol,2012,0.6152561936,90,36,6.701,0,ONC
Mol Oncol,2013,0.4210239034,131,49,5.935,0,ONC
Mol Oncol,2014,0.3629514976,212,49,5.331,0,ONC
Mol Oncol,2015,0.2497742161,209,47,5.367,0,ONC
Mol Ther,2011,0.0011889172,343,15,6.873,0,GEN
Mol Ther,2012,0.3015798028,334,15,7.041,0,GEN
Mol Ther,2013,1.22124925344749E-20,340,16,6.425,0,GEN
Mol Ther,2014,0.2769930773,304,24,6.227,0,GEN
Mol Ther,2015,0.2619535496,279,17,6.938,0,GEN
Nanomedicine,2011,1.80562190349237E-114,395,10,5.055,0,GEN
Nanomedicine,2012,2.15546739035235E-102,459,17,5.26,0,GEN
Nanomedicine,2013,1.33559511463372E-56,481,25,5.824,0,GEN
Nanomedicine,2014,7.28089639378287E-74,507,20,5.413,0,GEN
Nanomedicine,2015,6.89053812130494E-40,564,21,4.889,0,GEN
NEJM,2011,0.2727203354,1417,484,53.298,0,GEN
NEJM,2012,0.1687477732,1330,524,51.658,0,GEN
NEJM,2013,0.0855308205,1578,396,54.42,0,GEN
NEJM,2014,0.2258332424,1564,409,55.873,0,GEN
NEJM,2015,0.2375590889,1568,459,59.558,0,GEN
Neoplasia,2011,0.4711066776,111,15,5.946,1,ONC
Neoplasia,2012,0.1798487793,120,28,5.47,1,ONC
Neoplasia,2013,0.1626991966,126,41,5.398,1,ONC
Neoplasia,2014,0.3902774934,99,33,4.252,1,ONC
Neoplasia,2015,0.2807090802,82,30,4.509,1,ONC
Neuro Oncol,2011,0.0895410457,167,127,5.723,0,ONC
Neuro Oncol,2012,0.1636932021,202,139,6.18,0,ONC
Neuro Oncol,2013,0.1822331013,249,271,5.286,0,ONC
Neuro Oncol,2014,0.125943906,308,208,6.776,0,ONC
Neuro Oncol,2015,0.2641462362,300,221,7.371,0,ONC
Oncogene,2011,0.073088174,822,86,6.373,0,ONC
Oncogene,2012,0.0577009426,1001,96,7.357,0,ONC
Oncogene,2013,0.1818429406,1137,105,8.559,0,ONC
Oncogene,2014,0.1017304337,1035,94,8.459,0,ONC
Oncogene,2015,0.1495019488,993,58,7.932,0,ONC
Oncologist,2011,0.2861582632,246,103,3.812,0,ONC
Oncologist,2012,0.1361394263,235,71,4.095,0,ONC
Oncologist,2013,0.4103330937,239,83,4.54,0,ONC
Oncologist,2014,0.2812978586,228,103,4.865,0,ONC
Oncologist,2015,0.3433810993,278,176,4.789,0,ONC
Oncology,2011,0.2260349875,762,415,2.267,0,ONC
